id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42817285,Salem's R & R Home. “Great for travelers”,341037787,Joanie,,Ward 2,44.93011,-123.01908,Entire home/apt,167,2,79,2025-09-01,1.25,1,336,10,
42818351,Luxurious modern retreat in Downtown w/ pool,22810342,Michael,,Ward 1,44.94704,-123.02359,Entire home/apt,91,1,154,2025-09-01,2.30,5,295,38,
42995714,Beautiful Fully Furnished 3 bedroom 2 bath home,3705464,Andrea,,Ward 7,44.91399,-123.04763,Entire home/apt,74,30,9,2024-12-02,0.14,2,188,2,
43582845,Bright 1-Bedroom Cottage in West Salem's Downtown,97331039,Brandon,,Ward 1,44.94468,-123.05472,Entire home/apt,111,1,262,2025-09-20,5.98,5,76,72,
44613720,House in West Salem,361069274,Bong,,Ward 8,44.94374,-123.09206,Entire home/apt,311,2,45,2025-09-14,1.98,1,148,21,
45791126,Spacious gem + AC,78391796,Affiongma,,Ward 3,44.88788,-123.01672,Entire home/apt,200,30,213,2025-09-13,3.54,1,235,35,
46030321,"Tiny trailer, smaller than it looks.",126369803,Eric,,Ward 1,44.94539,-123.01041,Entire home/apt,,1,0,,,1,0,0,
46299140,"Private Suite: Master, bath, 2nd room, kitchenette",3705464,Andrea,,Ward 7,44.91554,-123.0515,Private room,35,30,16,2025-08-01,0.28,2,329,3,
46656862,Perfect for Traveling Professional,24633740,Mina,,Ward 1,44.94944,-123.05623,Private room,,1,40,2022-11-04,0.72,1,0,0,
47091813,Lower Apartment in Historic District Near Downtown,51012505,Amanda,,Ward 1,44.93828,-123.02178,Entire home/apt,68,60,30,2025-06-14,0.52,4,168,1,
47782801,Cozy Home West Salem Near Hospitals Pet Friendly,14857333,Debra Joan,,Ward 1,44.9466667175293,-123.05692291259766,Entire home/apt,72,29,1,2024-12-08,0.10,2,336,1,
47987577,Upper Apartment in Historic District Near Downtown,51012505,Amanda,,Ward 1,44.93869,-123.02161,Entire home/apt,,60,23,2025-07-13,0.45,4,168,8,
48000304,1950's Charm-Great for long-term/contract/RN/profs,12285441,Sheryl,,Ward 2,44.91754,-123.0362,Entire home/apt,120,5,119,2025-09-15,2.13,1,332,35,
48138030,Lovely daylight basement suite. Private entry,45044784,Debbie,,Ward 7,44.91298,-123.06674,Entire home/apt,121,1,201,2025-09-07,3.67,2,254,28,
48384939,Private getaway in a beautiful  neighborhood,57072094,Lily,,Ward 8,44.94441,-123.08543,Entire home/apt,105,2,42,2025-02-28,0.76,1,355,2,
48546846,"Basement Tudor Suite | Parking, Laundry, Private",348921397,Kristie,,Ward 1,44.95218,-123.01199,Entire home/apt,119,1,52,2025-09-21,0.99,1,89,9,
49034912,The Farmhouse Root Cellar in Oregon wine country,120966503,Kayla,,Ward 8,44.95977,-123.06547,Entire home/apt,103,2,125,2025-08-28,2.70,1,269,18,
50119734,Classic Bungalow! Private Parking-1 mile 2 Capital,404415327,Curt,,Ward 1,44.95343,-123.01882,Entire home/apt,221,2,52,2024-08-26,1.27,1,0,0,
50447645,"Jefferson Garden Cottage, Hosted by Salemstays.com",407589371,Angela,,Ward 1,44.952446,-123.016159,Entire home/apt,135,30,48,2025-08-10,0.95,1,160,6,
50484701,Heart of Downtown Living 30 night furnished stay.,407581863,Warren,,Ward 1,44.93923,-123.02761,Entire home/apt,109,30,86,2025-08-17,1.66,15,194,10,
50599685,City Center New York Style Loft  by Salemstays.com,407581863,Warren,,Ward 1,44.941975,-123.039902,Entire home/apt,192,2,61,2025-07-14,1.18,15,68,16,
50877729,"Convention Center Loft B, next to Riverfront park",407581863,Warren,,Ward 1,44.940449,-123.041534,Entire home/apt,177,2,33,2025-09-07,0.68,15,163,3,
50919816,"Vintage Home, Modern Comfort, Fashionable Stay!",258249548,Jessica,,Ward 5,44.96519,-122.99727,Entire home/apt,152,2,56,2025-09-04,1.13,1,353,10,
51021341,"Convention Center Loft A, next to Riverfront park",407581863,Warren,,Ward 1,44.93974,-123.0425,Entire home/apt,177,2,47,2025-07-27,0.95,15,186,4,
51022955,BunkHouse at Minto Island hosted by Salemstays.com,407581863,Warren,,Ward 7,44.918655,-123.064087,Entire home/apt,99,2,49,2025-03-23,0.97,15,340,2,
51332824,Hidden Treasure - A Private Guest Suite,299107336,Don,,Ward 8,44.94938,-123.08683,Entire home/apt,99,2,141,2025-09-23,2.79,1,65,21,
51498765,The Vineyard House - Cozy & Modern,84296528,Lillian,,Ward 7,44.89906,-123.09695,Entire home/apt,180,1,295,2025-09-13,5.86,2,144,55,
51580229,Affordable adorable 60's vibe furnished flat.,102278503,Victoria,,Ward 2,44.92546,-123.03167,Entire home/apt,87,60,4,2024-08-21,0.10,5,225,0,
51863196,"Room in boarding house, very centrally located!",104054845,Jennifer,,Ward 2,44.92656,-123.0338,Private room,37,30,13,2025-06-07,0.41,4,233,3,
51909986,Lovely 1 Bedroom Creekside Condo Near Downtown,142420980,Amanda,,Ward 1,44.94778,-123.03133,Entire home/apt,,30,56,2025-06-30,1.21,3,0,23,
52149787,Monthly Downtown Salem Loft Apt. by Salemstays.com,407581863,Warren,,Ward 1,44.941902,-123.04007,Entire home/apt,,30,5,2025-08-29,0.14,15,25,1,
52354445,Upstairs 2 Bed 1 Bath Condo with Creek View!,142420980,Amanda,,Ward 1,44.94767,-123.03143,Entire home/apt,84,1,156,2025-09-21,3.30,3,35,28,
52936961,Peace & Tranquility by the River,333300204,Roz,,Ward 5,44.96951,-123.03568,Entire home/apt,270,2,8,2025-09-04,0.24,1,6,5,
53188670,Central Salem- Cozy Cottage close to downtown,185354594,Aimee,,Ward 1,44.95312,-123.02356,Entire home/apt,120,30,106,2025-09-05,3.13,2,287,18,
53256374,Room for Rent in Near Downtown - Middle,51012505,Amanda,,Ward 1,44.93872,-123.02157,Private room,64,30,11,2024-07-28,0.23,4,88,0,
53927608,Quiet & Homey Cottage,379732841,Amy,,Ward 7,44.91419,-123.04934,Entire home/apt,84,3,9,2024-11-01,0.20,1,59,1,
54056293,Bright & Conveniently Located 3 Bedroom Home,438086831,Oleg,,Ward 7,44.88874,-123.05089,Entire home/apt,,30,2,2022-07-30,0.05,8,0,0,
54095800,3 bedroom modern home in South Salem,341269792,Renae,,Ward 7,44.89272,-123.05777,Entire home/apt,162,2,43,2025-09-15,1.05,1,339,11,
54161903,Big Blue* Extended stay ~ Family & Pet Friendly!,147303121,Mike & Ally,,Ward 8,44.94697,-123.06585,Entire home/apt,195,15,2,2025-08-31,0.28,4,85,2,
54181067,Cheerful bedroom in conveniently located home,438086831,Oleg,,Ward 7,44.8888,-123.04945,Private room,,30,7,2022-05-15,0.16,8,0,0,
54182557,Ultra luxury furnished home,301586216,Gene,,Ward 5,44.99752,-122.96874,Entire home/apt,378,3,30,2025-08-23,0.75,2,355,7,
54298128,Spacious and bright private master bedroom.,438086831,Oleg,,Ward 7,44.89012,-123.05124,Private room,,30,5,2022-05-16,0.11,8,0,0,
54298325,Warm and welcoming private bedroom.,438086831,Oleg,,Ward 7,44.8901,-123.04936,Private room,,30,3,2022-05-01,0.07,8,0,0,
565639133635114859,"3rd Generation Farmhouse; 4 bdrm, 3.5 bath",45044784,Debbie,,Ward 7,44.91388,-123.06543,Entire home/apt,475,1,39,2025-09-19,0.94,2,258,5,
573159601656563571,Lovely 1-bedroom unit in the West Hills,51012505,Amanda,,Ward 8,44.95026,-123.08469,Entire home/apt,60,60,6,2025-08-28,0.15,4,269,4,
573939723498729158,Private Cottage in the Heart of Salem,141403844,Rachel,,Ward 1,44.94279,-123.01585,Entire home/apt,,28,20,2025-04-14,0.48,1,14,6,
583694758993198434,Salem’s Largest Stay | 3 Stories | Home Theater |,165330582,Roddy,,Ward 8,44.94942,-123.0792,Entire home/apt,280,2,149,2025-09-21,3.49,2,16,42,
588674620465539061,"1123 The 3 Oaks 30 night furnished stay, great $.",407581863,Warren,,Ward 2,44.926373,-123.023994,Entire home/apt,99,30,24,2025-08-31,0.61,15,330,3,
589036744025791254,Cheerful 2 Bedroom home in a quiet neighborhood,111798177,Bryan,,Ward 1,44.94362,-123.01642,Entire home/apt,121,2,94,2025-09-16,2.22,1,83,25,
590845550474281367,"1133 The 3 Oaks 30 night furnished stay, great $.",407581863,Warren,,Ward 2,44.926338,-123.024155,Entire home/apt,177,30,23,2025-07-06,0.61,15,339,4,
594312136958704712,Modern and Bright Townhome + Game Room in S Salem,444961038,Mark,,Ward 4,44.86921,-123.0174,Entire home/apt,128,2,119,2025-09-07,2.81,3,222,22,
594378636886993787,Alice- The Wonderland Experience,172368364,Ellen,,Ward 2,44.93504,-123.02466,Entire home/apt,124,30,44,2025-07-27,1.15,13,328,11,
594378674176058095,"Soleil Salem- extended stays, free laundry, garden",172368364,Ellen,,Ward 2,44.9354,-123.02461,Entire home/apt,118,30,16,2024-05-01,0.41,13,359,0,
