id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18576618,ZEN HAUS. An inner SE Hawthorne/Division Studio.,30883612,Mary,,Richmond,45.50801,-122.62804,Entire home/apt,125,3,721,2025-08-31,7.88,1,60,72,18-190673-000-00-HO
18618551,Relaxing retreat in sweet bungalow,2576419,Maura,,Roseway,45.55158,-122.58766,Entire home/apt,164,30,17,2019-12-26,0.17,3,122,0,
18618775,Fully Private Suite w. a Superhost +Alberta Arts!,129344634,Jody,,Concordia,45.56721,-122.63102,Private room,72,1,358,2025-08-24,3.57,1,218,24,17-155276-000-00-ho
18628799,Beautiful Arbor Lodge,36909902,Jennifer,,Arbor Lodge,45.57568,-122.68879,Entire home/apt,99,30,2,2019-11-24,0.02,5,248,0,
18630078,★ Walk to Belmont - 2-bed/1-bath - Walk Score: 95!,129428891,Randy,,Buckman,45.51669,-122.64118,Entire home/apt,109,30,372,2025-05-30,3.69,1,139,2,20-114300-000-00-HO
18635638,Rose Garden Guest Suite w/ Private Entrance,129473003,Cory,,Hazelwood,45.53223,-122.52872,Entire home/apt,60,2,454,2025-09-01,4.74,1,249,40,17-283714-000-00-HO
18636900,Modern Luxury Apartment - Prize City Location!,17733541,Tony,,Sabin,45.55101013183594,-122.6549301147461,Entire home/apt,103,2,391,2025-08-25,3.88,1,222,22,17-179144-000-00-HO
18653995,Lille Hus: Sweet backyard house in great location,1627089,Alejandra,,Hosford-Abernethy,45.50479,-122.65007,Entire home/apt,81,14,60,2024-09-22,0.60,1,63,2,17-138211-000-00-HO
18672469,Newly Remodeled Open & Spacious Studio w/ 2 Kings,2936952,Wesley,,Roseway,45.543,-122.58934,Entire home/apt,152,2,89,2025-08-30,0.88,1,354,12,24ASTR-PER-00096
18720958,"Modern Studio Apt in Laurelhurst, Near Downtown",4880727,Marnie & Kim,,Laurelhurst,45.53032,-122.62936,Entire home/apt,112,2,254,2025-08-17,2.51,1,217,19,17-209646-000-00-HO
18770616,Alberta Nest: Home Base for Adventure in the City,21270012,Lorell,,Vernon,45.55934,-122.64532,Entire home/apt,133,1,462,2025-08-28,4.61,1,314,44,17-156285-000-00-HO
18803962,Modern Guesthouse in Kenton,31862405,Emily,,Kenton,45.584251403808594,-122.69332885742188,Entire home/apt,81,1,349,2025-09-05,3.95,1,27,66,19-268830-000-00-HO
18807994,"Comfortable Home, Great Location",1153199,Philipp William,,Richmond,45.51002,-122.62513,Entire home/apt,,2,20,2025-03-24,0.21,1,0,3,25ASTR-APP-00098
18810464,Washington Park Suite - Near Rose Gardens,15422453,Kathleen,,Arlington Heights,45.52139,-122.7062,Entire home/apt,117,2,278,2025-08-31,3.25,1,169,44,18-187098-000-00-HO
18848570,House in Richmond Area SE Portland,14943493,Terry,,Richmond,45.49895,-122.62655,Entire home/apt,120,3,103,2025-08-21,1.04,1,18,17,24ASTR-PER-00386
18887342,Casa de Campo in the Heart of Belmont- Hawthorne,131613511,Amy And Wes,,Sunnyside,45.51428,-122.63073,Entire home/apt,132,1,338,2025-09-05,3.39,1,340,36,17-184421-000-00-HO
18945723,Airy Buckman Courtyard Guesthouse,442446,Owen,,Buckman,45.52068,-122.63792,Entire home/apt,,2,101,2024-11-21,1.05,1,0,7,16-280649-000-00-HO
18948401,Comfy Room in Eclectic Victorian-31 day min no tax,98202133,Toney,,Northwest District,45.5388,-122.697,Private room,,31,699,2024-01-18,6.93,5,0,0,
18962310,Portland Sanctuary,9078003,Veronika,,Piedmont,45.56671027475282,-122.66214344873457,Entire home/apt,179,1,170,2025-08-10,1.69,2,239,5,17-183406-000-00-HO
18976343,Industrial vibe studio in perfect location,7872197,Chad,,Overlook,45.55571,-122.68427,Entire home/apt,91,2,231,2025-08-11,2.32,1,243,25,23-061108-000-00-HO
18996706,Portland Experience Awaits You!,132519510,Pamela,,Multnomah,45.45499,-122.71732,Private room,51,30,20,2025-02-05,0.22,1,365,1,
18999545,"Brand New, Modern Apartment in Trendy NE PDX",12222973,Lindsay,,King,45.55294,-122.65948,Entire home/apt,,30,130,2022-06-24,1.31,1,0,0,17-189661-000-00-HO
19019667,"Alberta Arts - fast Wifi, hd TV, A/C - Great area!",2236909,Shane,,King,45.55977,-122.65653,Private room,,30,30,2024-10-10,0.33,6,29,1,
19049489,The Crow;s Nest @ The Gilman,74852933,Kyr,,Kerns,45.52579,-122.64019,Private room,183,31,1,2017-07-24,0.01,1,365,0,
19051513,Beautiful Basement Apartment in Contemporary Home,132980319,Sara,,Roseway,45.55268,-122.59636,Entire home/apt,93,2,126,2025-07-29,1.28,1,292,18,17-180212-000-00-HO
19102236,Private garden loft apartment,41333497,Katya,,Piedmont,45.57185,-122.66403,Entire home/apt,57,2,363,2025-06-23,3.62,2,119,18,16-191923-000-00-HO
19120860,Hollywood Haven,40607528,Suzanne,,Rose City Park,45.53827,-122.61283,Entire home/apt,123,2,215,2025-08-16,2.16,1,175,13,15-197082-000-00-HO
19138065,* Backyard Studio + AC + Parking + Patio *,133774958,Tessa,,Madison South,45.54453,-122.57216,Entire home/apt,77,1,768,2025-08-25,7.65,1,248,82,24ASTR-PER-00357
19139827,The Flying Whale-MountTabor.,133785686,Jill,,Mt. Tabor,45.5213,-122.58814,Entire home/apt,181,2,385,2025-08-30,3.93,2,73,22,17-182664-000-00-HO
19175797,littlebluepdx,1792734,Libby,,Concordia,45.563904,-122.635216,Entire home/apt,90,2,527,2025-09-02,5.40,1,222,65,17-198869-000-00-HO
19195669,•1898UrbanVictorian Loft view near Convention Ctr.,134280900,Paulla,,Kerns,45.52596,-122.65705,Entire home/apt,133,1,172,2025-08-04,1.72,2,160,14,24ASTR-PER-00368
19197609,The artFlat / Portland.Peaceful. Fun,134299336,Sky,,Richmond,45.5118,-122.63124,Entire home/apt,64,1,391,2025-08-04,3.93,1,344,56,17-187117-000-00-HO
19208182,Rad Daylight Basement in 1959 Split Level Ranch,22809489,Matthew,,Creston-Kenilworth,45.49084,-122.62768,Private room,62,1,617,2025-09-04,6.20,1,312,87,24ASTR-APP-00555
19209341,"Great, quiet neighborhood. 30 day minimum.",106287972,Joe,,Mt. Tabor,45.52255407254195,-122.60991125690482,Entire home/apt,89,50,1,2023-03-31,0.03,1,67,0,
19225029,Pet Friendly with Fast Wifi & Easy Parking,134574350,Mark,,King,45.55032,-122.65818,Entire home/apt,83,2,195,2025-09-02,1.96,1,344,14,25ASTR-PER-00095
19246074,Full Private Apartment in Trendy Neighborhood,29172616,Chris,,Foster-Powell,45.49011,-122.59334,Entire home/apt,50,30,94,2025-07-31,0.94,2,218,2,Exempt
19247651,Multnomah Village Guest House,25278503,Lauren,,Multnomah,45.46656,-122.71454,Entire home/apt,70,1,280,2025-08-24,2.86,1,64,17,24ASTR-PER-00408
19273583,"Sweet Hideaway in the trees, Mount Tabor",133785686,Jill,,Mt. Tabor,45.52068,-122.59036,Entire home/apt,77,1,901,2025-08-31,9.09,2,320,129,17-182664-000-00-HO
19290369,Quaint Basement Studio w/ Hot Tub and Private Deck,16918919,Jason,,Hayhurst,45.4832,-122.72932,Entire home/apt,64,1,537,2024-10-14,5.43,1,143,4,17-206685-000-00-HO
19308293,Two Stories Guest Cottage  with Deck and Grill.,16176539,Sabin,,Richmond,45.50052,-122.6323,Entire home/apt,120,3,53,2025-09-03,0.58,1,139,12,19-242031-000-00-HO
19366649,Convention Center/ Moda/ Eliot/ West Irvington,135429095,Rebecca,,Eliot,45.53851,-122.6604,Entire home/apt,101,2,318,2025-08-30,3.20,1,248,47,24ASTR-PER-00270
19384339,Cozy Private 800 sq. ft. Downstairs in St. John's!,135879197,Angie,,St. Johns,45.59366,-122.73515,Entire home/apt,84,2,182,2025-08-10,1.83,1,227,23,19-215986-000-00-HO
19387985,Privacy & Peace steps from OHSU,9584819,Osvaldo,,Homestead,45.49689483642578,-122.69591522216797,Private room,65,30,63,2025-08-22,1.18,1,63,18,25ASTR-PER-00123
19403380,Inviting Oasis By Division Street's Restaurant Row,136020511,Elisabeth,,Hosford-Abernethy,45.50411,-122.6363,Entire home/apt,,2,111,2025-08-31,1.11,1,0,15,17-181480-000-00-HO
19413838,"Spacious, private SW hills HOUSE w free parking",40426471,Neil,,Southwest Hills,45.51607,-122.69658,Entire home/apt,,2,59,2022-11-27,0.60,1,0,0,17-207467-000-00-HO
19460421,"The LaunchPad: clean, mod, convenient guest house",3119225,Grace,,Overlook,45.56311,-122.6952,Entire home/apt,64,3,180,2025-08-04,1.82,1,337,14,17-198021-000-00-HO
19475518,Entire Cozy Apartment Studio in Hip Neighborhood,29172616,Chris,,Foster-Powell,45.49095,-122.59563,Entire home/apt,69,57,95,2025-01-18,0.96,2,217,3,
19494240,Ultra Clean 2 Bedroom with HEPA Air Purifier,136858425,Kimberly,,Arbor Lodge,45.57423,-122.68205,Entire home/apt,113,3,409,2025-08-13,4.11,1,172,19,17-192961-000-00-HO
19519294,Cozy Modern Apartment on Alberta St,7580556,Alexander,,Overlook,45.5581,-122.68051,Entire home/apt,101,2,368,2025-08-22,3.98,1,244,20,24ASTR-PER-00416
19530684,Orchard View,28410788,Janet,,Hayhurst,45.47727,-122.71508,Entire home/apt,94,30,86,2025-04-30,0.86,3,356,1,
19531938,Historic Dougan Suites : Suite 1,5726659,Bridget,,Laurelhurst,45.524342,-122.622635,Entire home/apt,143,30,188,2025-09-01,2.13,4,133,3,20-126857-000-00-HO
19545779,Alberta Loft,11076206,David,,Cully,45.55752,-122.6167,Entire home/apt,128,2,192,2025-06-21,1.96,1,228,18,17-178434-000-00-HO
19547625,The Tiny Big Guest House,415258,Emily,,Creston-Kenilworth,45.49564,-122.63793,Entire home/apt,80,2,483,2025-08-24,4.92,1,294,45,17-179145-000-00-HO
19553361,Patio Cottage for 1-2 w/kitchen & gas firepit,6946676,Scott,,Humboldt,45.558284759521484,-122.66563415527344,Entire home/apt,98,1,199,2025-07-31,2.00,5,351,21,17-182673-000-00-HO
19570342,Comfy Condo Downtown Portland 97201 Extended Stay,21288777,Sharon,,Portland Downtown,45.51576,-122.68536,Entire home/apt,,31,8,2020-10-17,0.08,1,0,0,
19609470,Magic Caravan,1510664,Jessica,,Boise,45.55275,-122.67202,Entire home/apt,88,2,350,2025-08-20,3.53,1,253,36,17-102169-000-00-HO
19610033,Taylor Street Cottage,137895170,Matt And Nicki,,Sunnyside,45.51421,-122.637,Entire home/apt,113,1,535,2025-09-05,5.43,1,300,79,17-203500-000-00-HO
19626637,"Romantic & Private Castia. HotTub, Patio & FirePit",4901178,Christopher,,Woodstock,45.48745674907361,-122.613850014648,Entire home/apt,83,1,803,2025-09-03,8.73,4,314,35,25ASTR-PER-00188
19657817,Williams Designer Suite - South,1239203,Shana,,Boise,45.550971084972176,-122.66726993659198,Entire home/apt,,2,251,2025-08-27,2.53,2,31,34,24ASTR-APP-00005
19678795,Spacious 2 Bdrm In Popular SE Hawthorne,23400410,Bryan,,Sunnyside,45.51561,-122.62528,Entire home/apt,127,31,90,2025-08-30,0.90,4,300,2,
19683221,"Savor the Laid-Back, Bohemian Feel at a Sunny Urban Abode",417776,Laura,,Boise,45.5502,-122.66566,Entire home/apt,130,2,399,2025-08-17,4.01,1,237,40,24ASTR-APP-00389
19764780,Parkrose Room,36382116,Jon,,Parkrose,45.56008,-122.55341,Private room,,30,37,2021-02-25,0.37,1,0,0,16-262815-000-00-HO
19769143,Two Bedroom Getaway NE Alberta Arts area: THE DUPE,139541066,Ticari,,King,45.55952,-122.66057,Entire home/apt,88,30,62,2021-08-14,0.63,1,172,0,
19812267,"Cozy, Beautiful Alberta Arts Apartment",31304088,Leslie,,Alameda,45.55349,-122.63841,Entire home/apt,89,4,387,2025-08-22,3.93,1,234,42,17-232725-000-00-HO
19820204,Pure Privacy for 2 in Multnomah Village,137846612,Lorraine,,Multnomah,45.46833,-122.70695,Entire home/apt,105,2,236,2025-08-19,2.44,1,126,33,17-259235-000-00-HO
19865184,1898UrbanVictorian Parlor Apt.near Convention Ctr.,134280900,Paulla,,Kerns,45.52605,-122.65667,Entire home/apt,126,1,107,2025-07-01,1.09,2,264,4,24ASTR-PER-00368
19880543,Hazelwood Haven: 1 BR w/private entrance & bath,63788073,Jenka,,Hazelwood,45.52064,-122.53362,Private room,36,5,273,2025-09-03,2.81,1,18,8,24-006590-000-00-HO
19890526,Entire Main Floor Bungalow - Min 30 Night Stay,32601622,Katherine,,Woodlawn,45.57089,-122.65708,Entire home/apt,,30,7,2022-04-16,0.12,1,0,0,
19910312,Private bedroom in a house off Hawthorne Mt Tabor,90701654,Kevin,,Richmond,45.51159,-122.61483,Private room,65,2,191,2025-08-13,1.93,1,194,19,16-222456-000-00-HO
19928912,Vintage-Modern Large Hawthorne Suite. A+ location,1743188,Chrystal,,Richmond,45.51072,-122.63198,Entire home/apt,94,2,322,2025-08-17,3.46,1,130,33,18-117567-000-00-HO
19949395,TheBuffaloBee-Private Suite+Balcony-Clean & Quiet!,11740189,Anthony Lane,,Arbor Lodge,45.57515,-122.68669,Entire home/apt,86,3,186,2025-09-02,1.91,1,56,21,17-183366-000-00-HO
19952673,Portland Home with garden,20413267,Lindsay,,Alameda,45.55149,-122.63246,Entire home/apt,275,30,7,2019-12-28,0.07,2,362,0,
